,时间,小时,工作日,供冷季节,电耗
176,193,8,0,1,67.89999962
177,193,9,0,1,642.0900078
178,193,10,0,1,688.3099918
179,193,11,0,1,646.7900085
180,193,12,0,1,662.9200077
181,193,13,0,1,662.8900146
182,193,14,0,1,663.3099861
183,193,15,0,1,662.9799919
184,193,16,0,1,668.3099861
185,193,17,0,1,668.7900143
186,193,18,0,1,678.1099911
187,193,19,0,1,670.2099857
188,193,20,0,1,492.8899937
189,193,21,0,1,110.2000008
190,193,22,0,1,102.7000008
191,193,23,0,1,103
192,194,0,1,1,102.4000015
193,194,1,1,1,92.5
194,194,2,1,1,96.10000038
195,194,3,1,1,102.4000015
196,194,4,1,1,102.5
197,194,5,1,1,96.70000076
198,194,6,1,1,81
199,194,7,1,1,394.8999958
200,194,8,1,1,1258.9
201,194,9,1,1,1271.509991
202,194,10,1,1,1473.090015
203,194,11,1,1,1412.399994
204,194,12,1,1,1492.1
205,194,13,1,1,1411.799999
206,194,14,1,1,1455.799999
207,194,15,1,1,1392.4
208,194,16,1,1,1483.899988
209,194,17,1,1,1473.989996
210,194,18,1,1,1163.609991
211,194,19,1,1,871.6000118
212,194,20,1,1,680.3999996
213,194,21,1,1,508.6100044
214,194,22,1,1,110.2000008
215,194,23,1,1,103.2999992
216,195,0,1,1,97
217,195,1,1,1,91.60000038
218,195,2,1,1,92.20000076
219,195,3,1,1,93.39999962
220,195,4,1,1,92.79999924
221,195,5,1,1,97.60000038
222,195,6,1,1,89
223,195,7,1,1,396.6099968
224,195,8,1,1,1284.390015
225,195,9,1,1,1366.799994
226,195,10,1,1,1440.899986
227,195,11,1,1,1435.100006
228,195,12,1,1,1421.299988
229,195,13,1,1,1509.199993
230,195,14,1,1,1554.609974
231,195,15,1,1,1558.079979
232,195,16,1,1,1513.610027
233,195,17,1,1,1576.000008
234,195,18,1,1,1236.500008
235,195,19,1,1,877.4999886
236,195,20,1,1,688.7000065
237,195,21,1,1,518.8999882
238,195,22,1,1,97.59999847
239,195,23,1,1,92.5
240,196,0,1,1,80.5
241,196,1,1,1,83.5
242,196,2,1,1,87.39999962
243,196,3,1,1,80.79999924
244,196,4,1,1,82.60000038
245,196,5,1,1,74.79999924
246,196,6,1,1,71.20000076
247,196,7,1,1,375.7799931
248,196,8,1,1,1260.600006
249,196,9,1,1,1314.5
250,196,10,1,1,1463.609985
251,196,11,1,1,1503
252,196,12,1,1,1471.700006
253,196,13,1,1,1459.400024
254,196,14,1,1,1446.499988
255,196,15,1,1,1402.999988
256,196,16,1,1,1528.309985
257,196,17,1,1,1448.389996
258,196,18,1,1,1102.110003
259,196,19,1,1,835.5900269
260,196,20,1,1,756.8000126
261,196,21,1,1,523.4000053
262,196,22,1,1,113.7999992
263,196,23,1,1,99.70000076
264,197,0,1,1,85.60000038
265,197,1,1,1,88.60000038
266,197,2,1,1,83.79999924
267,197,3,1,1,90.70000076
268,197,4,1,1,91.89999962
269,197,5,1,1,91
270,197,6,1,1,93.70000076
271,197,7,1,1,354.3099976
272,197,8,1,1,1252.290027
273,197,9,1,1,1239.799994
274,197,10,1,1,1235.690015
275,197,11,1,1,1385.909973
276,197,12,1,1,1459.200012
277,197,13,1,1,1450.899986
278,197,14,1,1,1447.499989
279,197,15,1,1,1181.909985
280,197,16,1,1,1431.700001
281,197,17,1,1,1443.289978
282,197,18,1,1,1215.700001
283,197,19,1,1,878.6999741
284,197,20,1,1,767.1999931
285,197,21,1,1,558.7000008
286,197,22,1,1,124
287,197,23,1,1,105.0999985
288,198,0,1,1,103.2999992
289,198,1,1,1,109.2999992
290,198,2,1,1,98.79999924
291,198,3,1,1,92.5
292,198,4,1,1,91.90000153
293,198,5,1,1,86.5
294,198,6,1,1,90.40000153
295,198,7,1,1,363.2899933
296,198,8,1,1,1240.709991
297,198,9,1,1,1144.299988
298,198,10,1,1,1316.400013
299,198,11,1,1,1298
300,198,12,1,1,1397.799999
301,198,13,1,1,1395.6
302,198,14,1,1,1396.200001
303,198,15,1,1,1403.199989
304,198,16,1,1,1383
305,198,17,1,1,1449.789997
306,198,18,1,1,1161.609985
307,198,19,1,1,861.4900131
308,198,20,1,1,726.5
309,198,21,1,1,507.6100044
310,198,22,1,1,116.2000008
311,198,23,1,1,103.9000015
312,199,0,0,1,97
313,199,1,0,1,85.89999962
314,199,2,0,1,95.60000038
315,199,3,0,1,98.5
316,199,4,0,1,91
317,199,5,0,1,94.59999847
318,199,6,0,1,94.90000153
319,199,7,0,1,82.29999924
320,199,8,0,1,97.89999962
321,199,9,0,1,636.0000114
322,199,10,0,1,821.7999954
323,199,11,0,1,744.5000114
324,199,12,0,1,668.4900017
325,199,13,0,1,760.8099899
326,199,14,0,1,740.0000114
327,199,15,0,1,721.599987
328,199,16,0,1,713
329,199,17,0,1,719.890007
330,199,18,0,1,725.9100037
331,199,19,0,1,691.8100052
332,199,20,0,1,511.5
333,199,21,0,1,110
334,199,22,0,1,96
335,199,23,0,1,101.6000004
336,200,0,0,1,107.7999992
337,200,1,0,1,109.6000004
338,200,2,0,1,103.8999996
339,200,3,0,1,92.20000076
340,200,4,0,1,88.60000038
341,200,5,0,1,87.70000076
342,200,6,0,1,75.10000038
343,200,7,0,1,77.20000076
344,200,8,0,1,75.10000038
345,200,9,0,1,625.9000015
346,200,10,0,1,715.6100044
347,200,11,0,1,631.7999992
348,200,12,0,1,645.7900162
349,200,13,0,1,626.4099846
350,200,14,0,1,627.6799927
351,200,15,0,1,616.8099861
352,200,16,0,1,653.3999863
353,200,17,0,1,614.4000015
354,200,18,0,1,329.2000008
355,200,19,0,1,613.5000114
356,200,20,0,1,531.2999992
357,200,21,0,1,111.4000015
358,200,22,0,1,102.4000015
359,200,23,0,1,95.79999924
360,201,0,1,1,95.20000076
361,201,1,1,1,85.29999924
362,201,2,1,1,91.29999924
363,201,3,1,1,79.89999962
364,201,4,1,1,72.39999962
365,201,5,1,1,70.60000038
366,201,6,1,1,73.60000038
367,201,7,1,1,370.5899963
368,201,8,1,1,975.489994
369,201,9,1,1,1085.200003
370,201,10,1,1,1420.000011
371,201,11,1,1,1431.299995
372,201,12,1,1,1413.909996
373,201,13,1,1,1286.490028
374,201,14,1,1,1217.199989
375,201,15,1,1,1314.199987
376,201,16,1,1,937.9100037
377,201,17,1,1,1164.700001
378,201,18,1,1,812.8999996
379,201,19,1,1,799.7900143
380,201,20,1,1,626.7999992
381,201,21,1,1,448.9099998
382,201,22,1,1,676.5000038
383,201,23,1,1,245.8999996
384,202,0,1,1,72.39999962
385,202,1,1,1,63.70000076
386,202,2,1,1,64
387,202,3,1,1,66.39999962
388,202,4,1,1,75.10000038
389,202,5,1,1,65.20000076
390,202,6,1,1,70.89999962
391,202,7,1,1,341.6999969
392,202,8,1,1,709.3999996
393,202,9,1,1,1074.200001
394,202,10,1,1,1281.199987
395,202,11,1,1,978.5000114
396,202,12,1,1,1177.000006
397,202,13,1,1,1189.200006
398,202,14,1,1,1103.800013
399,202,15,1,1,1068.699993
400,202,16,1,1,1079.200012
401,202,17,1,1,1188.599987
402,202,18,1,1,1111.100006
403,202,19,1,1,896.2999935
404,202,20,1,1,842.0000114
405,202,21,1,1,618.0999966
406,202,22,1,1,70
407,202,23,1,1,66.39999962
408,203,0,1,1,65.5
409,203,1,1,1,71.5
410,203,2,1,1,68.79999924
411,203,3,1,1,59.5
412,203,4,1,1,58.89999962
413,203,5,1,1,56.20000076
414,203,6,1,1,62.5
415,203,7,1,1,343.9099998
416,203,8,1,1,1226.799988
417,203,9,1,1,1092.500011
418,203,10,1,1,1199.499989
419,203,11,1,1,1282.300011
420,203,12,1,1,1258.099998
421,203,13,1,1,1240.800007
422,203,14,1,1,1241.490009
423,203,15,1,1,1269.609985
424,203,16,1,1,1371.31002
425,203,17,1,1,1271.200001
426,203,18,1,1,1227.990009
427,203,19,1,1,843.8099899
428,203,20,1,1,636.890007
429,203,21,1,1,496.9000015
430,203,22,1,1,97.59999847
431,203,23,1,1,97.59999847
432,204,0,1,1,91.90000153
433,204,1,1,1,90.70000076
434,204,2,1,1,81.10000038
435,204,3,1,1,86.5
436,204,4,1,1,87.10000038
437,204,5,1,1,83.79999924
438,204,6,1,1,79.89999962
439,204,7,1,1,363.6899967
440,204,8,1,1,1177.9
441,204,9,1,1,1126.010002
442,204,10,1,1,1310.19001
443,204,11,1,1,1298.090015
444,204,12,1,1,1129.320007
445,204,13,1,1,1032
446,204,14,1,1,983.3900089
447,204,15,1,1,1014.4
448,204,16,1,1,1063.609991
449,204,17,1,1,1030.200001
450,204,18,1,1,947.6900082
451,204,19,1,1,719.7000008
452,204,20,1,1,642.2000008
453,204,21,1,1,508.2999992
454,204,22,1,1,77.20000076
455,204,23,1,1,82.89999962
456,205,0,1,1,78.70000076
457,205,1,1,1,82
458,205,2,1,1,75.10000038
459,205,3,1,1,64.29999924
460,205,4,1,1,67.29999924
461,205,5,1,1,71.79999924
462,205,6,1,1,66.10000038
463,205,7,1,1,369.4999962
464,205,8,1,1,1038.899988
465,205,9,1,1,955.1999931
466,205,10,1,1,980.7999935
467,205,11,1,1,979.1000118
468,205,12,1,1,973.8000126
469,205,13,1,1,940.6000004
470,205,14,1,1,875.7999935
471,205,15,1,1,1013.399988
472,205,16,1,1,999.1999931
473,205,17,1,1,976.1000004
474,205,18,1,1,816.6999874
475,205,19,1,1,592.9999943
476,205,20,1,1,280.7999992
477,205,21,1,1,218.2999992
478,205,22,1,1,64.89999962
479,205,23,1,1,62.79999924
480,206,0,0,1,62.79999924
481,206,1,0,1,64.29999924
482,206,2,0,1,60.10000038
483,206,3,0,1,66.70000076
484,206,4,0,1,65.5
485,206,5,0,1,56.79999924
486,206,6,0,1,64.60000038
487,206,7,0,1,57.39999962
488,206,8,0,1,60.10000038
489,206,9,0,1,624.7999878
490,206,10,0,1,684.3000126
491,206,11,0,1,639.8899956
492,206,12,0,1,617.4200077
493,206,13,0,1,599.490015
494,206,14,0,1,537.6000004
495,206,15,0,1,573.4099846
496,206,16,0,1,568.8799934
497,206,17,0,1,572.3200073
498,206,18,0,1,578.989996
499,206,19,0,1,555.599988
500,206,20,0,1,395.8899937
501,206,21,0,1,54.30000019
502,206,22,0,1,61.10000038
503,206,23,0,1,59.5
504,207,0,0,1,55.89999962
505,207,1,0,1,49.30000019
506,207,2,0,1,46.60000038
507,207,3,0,1,49.89999962
508,207,4,0,1,56.5
509,207,5,0,1,49.89999962
510,207,6,0,1,43.89999962
511,207,7,0,1,45.39999962
512,207,8,0,1,52.89999962
513,207,9,0,1,581.2999935
514,207,10,0,1,511.8000059
515,207,11,0,1,525.5
516,207,12,0,1,548.2099857
517,207,13,0,1,534.3900146
518,207,14,0,1,538.8900089
519,207,15,0,1,512.2100029
520,207,16,0,1,501.8999882
521,207,17,0,1,383.1999969
522,207,18,0,1,253.3999996
523,207,19,0,1,217.1999998
524,207,20,0,1,227
525,207,21,0,1,207.6000004
526,207,22,0,1,60.10000038
527,207,23,0,1,58.30000019
528,208,0,1,1,49.89999962
529,208,1,1,1,50.80000019
530,208,2,1,1,43.60000038
531,208,3,1,1,42.10000038
532,208,4,1,1,45.10000038
533,208,5,1,1,46.89999962
534,208,6,1,1,49.60000038
535,208,7,1,1,339.0100002
536,208,8,1,1,1318.790014
537,208,9,1,1,1126.510004
538,208,10,1,1,1244.199987
539,208,11,1,1,1190.2
540,208,12,1,1,1251.709986
541,208,13,1,1,1208.790014
542,208,14,1,1,1212.299994
543,208,15,1,1,1257.909992
544,208,16,1,1,1284.290009
545,208,17,1,1,1274.199989
546,208,18,1,1,1082.010004
547,208,19,1,1,753.6899967
548,208,20,1,1,616.6999874
549,208,21,1,1,460.9099998
550,208,22,1,1,79.60000038
551,208,23,1,1,73
552,209,0,1,1,67.60000038
553,209,1,1,1,66.79999924
554,209,2,1,1,64.89999962
555,209,3,1,1,60.69999981
556,209,4,1,1,57.69999981
557,209,5,1,1,54.39999962
558,209,6,1,1,57.39999962
559,209,7,1,1,332.5
560,209,8,1,1,739.6000004
561,209,9,1,1,1184.199987
562,209,10,1,1,1187
563,209,11,1,1,1128.600006
564,209,12,1,1,1121.299994
565,209,13,1,1,1132.699993
566,209,14,1,1,1077.300011
567,209,15,1,1,1113.000011
568,209,16,1,1,1140.699993
569,209,17,1,1,1173.5
570,209,18,1,1,907.7899933
571,209,19,1,1,806.7099857
572,209,20,1,1,594.3899956
573,209,21,1,1,403.0000038
574,209,22,1,1,72.39999962
575,209,23,1,1,70.60000038
576,210,0,1,1,73
577,210,1,1,1,65.79999924
578,210,2,1,1,63.70000076
579,210,3,1,1,62.5
580,210,4,1,1,57.10000038
581,210,5,1,1,63.39999962
582,210,6,1,1,58.29999924
583,210,7,1,1,348.6899967
584,210,8,1,1,861.9200077
585,210,9,1,1,1164.400013
586,210,10,1,1,1171.1
587,210,11,1,1,1096.600006
588,210,12,1,1,1140.999989
589,210,13,1,1,1086.899994
590,210,14,1,1,1069.200006
591,210,15,1,1,1114.100012
592,210,16,1,1,1126.200006
593,210,17,1,1,1113.799994
594,210,18,1,1,801.7099876
595,210,19,1,1,718.0799923
596,210,20,1,1,557.4100037
597,210,21,1,1,412.7899961
598,210,22,1,1,68.19999981
599,210,23,1,1,66.19999981
600,211,0,1,1,55.89999962
601,211,1,1,1,58
602,211,2,1,1,53.5
603,211,3,1,1,52
604,211,4,1,1,54.69999981
605,211,5,1,1,56.5
606,211,6,1,1,50.5
607,211,7,1,1,311.8999939
608,211,8,1,1,992.6099949
609,211,9,1,1,1072.390015
610,211,10,1,1,1128.909991
611,211,11,1,1,1096.690008
612,211,12,1,1,1065.2
613,211,13,1,1,1010.6
614,211,14,1,1,1000.809992
615,211,15,1,1,1024.799994
616,211,16,1,1,1130
617,211,17,1,1,1065.399988
618,211,18,1,1,926.989996
619,211,19,1,1,673.3099852
620,211,20,1,1,530.8999996
621,211,21,1,1,214.5
622,211,22,1,1,59.5
623,211,23,1,1,53.80000019
624,212,0,1,1,56.5
625,212,1,1,1,50.5
626,212,2,1,1,48.69999981
627,212,3,1,1,50.5
628,212,4,1,1,49.60000038
629,212,5,1,1,50.80000019
630,212,6,1,1,49
631,212,7,1,1,279.1999941
632,212,8,1,1,941.3799944
633,212,9,1,1,1120.3
634,212,10,1,1,1147.5
635,212,11,1,1,1272.609991
636,212,12,1,1,1346.490008
637,212,13,1,1,914.1100006
638,212,14,1,1,1008.799999
639,212,15,1,1,1064.500011
640,212,16,1,1,1098.399988
641,212,17,1,1,999.1000004
642,212,18,1,1,899.4100037
643,212,19,1,1,673.7900143
644,212,20,1,1,537.6000004
645,212,21,1,1,387.5100002
646,212,22,1,1,75.39999962
647,212,23,1,1,74.19999981
648,213,0,0,1,72.10000038
649,213,1,0,1,70
650,213,2,0,1,63.69999981
