,0,1,2,3,4
0,186.0,0.0,0.0,1.0,1.827798315229755e-05
1,186.0,1.0,0.0,1.0,2.7515805096598597e-05
2,186.0,2.0,0.0,1.0,2.7602514345232327e-05
3,186.0,3.0,0.0,1.0,2.5868324962285793e-05
4,186.0,4.0,0.0,1.0,2.5521486865182893e-05
5,186.0,5.0,0.0,1.0,2.5608196665100596e-05
6,186.0,6.0,0.0,1.0,2.352716918505119e-05
7,186.0,7.0,0.0,1.0,2.5261358567997723e-05
8,186.0,8.0,0.0,1.0,2.7082257750861964e-05
9,186.0,9.0,0.0,1.0,0.00018026898657780562
10,186.0,10.0,0.0,1.0,0.00021449031976537305
11,186.0,11.0,0.0,1.0,0.00019526972297618438
12,186.0,12.0,0.0,1.0,0.00018532703673959706
13,186.0,13.0,0.0,1.0,0.00018535594166008856
14,186.0,14.0,0.0,1.0,0.00018867980464406942
15,186.0,15.0,0.0,1.0,0.0001887665127901349
16,186.0,16.0,0.0,1.0,0.00018957580425603388
17,186.0,17.0,0.0,1.0,0.00019116547620321605
18,186.0,18.0,0.0,1.0,0.00018318820879039297
19,186.0,19.0,0.0,1.0,0.00017327442416659305
20,186.0,20.0,0.0,1.0,0.00013720328246539888
21,186.0,21.0,0.0,1.0,2.673541965375906e-05
22,186.0,22.0,0.0,1.0,2.5001230270812526e-05
23,186.0,23.0,0.0,1.0,2.3440459936417432e-05
24,187.0,0.0,1.0,1.0,2.2660074493577922e-05
25,187.0,1.0,1.0,1.0,2.2486655445026458e-05
26,187.0,2.0,1.0,1.0,2.1706270553470898e-05
27,187.0,3.0,1.0,1.0,2.1966398850656095e-05
28,187.0,4.0,1.0,1.0,2.1879689602022362e-05
29,187.0,5.0,1.0,1.0,2.1706270553470898e-05
30,187.0,6.0,1.0,1.0,1.962524307342149e-05
31,187.0,7.0,1.0,1.0,0.00011228876089193615
32,187.0,8.0,1.0,1.0,0.0003138593717389801
33,187.0,9.0,1.0,1.0,0.0002590011877610252
34,187.0,10.0,1.0,1.0,0.00038186849517864965
35,187.0,11.0,1.0,1.0,0.0003366061554811915
36,187.0,12.0,1.0,1.0,0.0003553932071297789
37,187.0,13.0,1.0,1.0,0.00036232996135386185
38,187.0,14.0,1.0,1.0,0.0003192642655107137
39,187.0,15.0,1.0,1.0,0.0003728507189873578
40,187.0,16.0,1.0,1.0,0.00034594187863119417
41,187.0,17.0,1.0,1.0,0.0004077368289614793
42,187.0,18.0,1.0,1.0,0.00030420572092520445
43,187.0,19.0,1.0,1.0,0.00023426008964638593
44,187.0,20.0,1.0,1.0,0.00018599180801331193
45,187.0,21.0,1.0,1.0,0.0001402381138855553
46,187.0,22.0,1.0,1.0,2.213981789920753e-05
47,187.0,23.0,1.0,1.0,2.213981789920753e-05
48,188.0,0.0,1.0,1.0,2.3353750136499725e-05
49,188.0,1.0,1.0,1.0,2.1792979802104658e-05
50,188.0,2.0,1.0,1.0,1.9798662121972927e-05
51,188.0,3.0,1.0,1.0,1.8498020084763027e-05
52,188.0,4.0,1.0,1.0,1.693724975036793e-05
53,188.0,5.0,1.0,1.0,1.8151181987660123e-05
